dept_code,sub_dept,class,sub_class,description
0,0,0,0,GAP
0,18,0,0,GIRLS
0,18,181,0,"G WOV IT"
0,18,181,100,"WOV TOPS"
800,0,0,0,GWP
800,811,0,0,"GAP GWP ITM"
800,811,23,0,ACCESS
800,811,23,104,ITEMS
800,811,23,110,ITEMS
800,812,0,0,"BR GWP ITM"
800,812,23,0,ACCESS
800,812,23,104,ITEMS
800,812,23,110,ITEMS
811,0,0,0,GAP
811,0,124,0,"M SWTRS"
811,0,164,0,"TOD ACC"
811,0,164,113,"TG SHOES"
811,10,0,0,GAPBODY
811,10,105,0,"WMS BRAS"
811,10,105,3,LIGHT
811,10,105,4,MEDIUM
811,10,105,103,LIGHT
811,10,105,104,MEDIUM
811,10,106,0,WMNSLNGE
811,10,106,1,BOTTOMS
811,10,106,4,SETS
811,10,106,100,TOPS
811,10,106,101,BOTTOMS
811,10,106,102,GOWNS
811,10,106,104,SETS
811,10,106,106,JACKETS
811,10,106,107,SPORT
811,10,107,0,SWIMWEAR
811,10,107,101,TOPS
811,10,107,102,BOTTOMS
811,10,108,0,WMSUNDWR
811,10,108,1,HIPSTER
811,10,108,2,BOYSHORT
811,10,108,4,BIKINI
811,10,108,5,THONG
811,10,108,101,HIPSTER
811,10,108,102,BOYSHORT
811,10,108,104,BIKINI
811,10,108,105,THONG
811,10,109,0,TOPS
811,10,109,100,TOPS
811,10,109,101,BOTTOMS
811,10,109,102,JACKETS
811,10,143,0,"W WVN TPS"
811,10,143,100,LNGSLEEV
811,10,143,101,SHRTSLEV
811,10,143,102,SLEEVLES
811,12,0,0,MENS
811,12,120,0,"M BTTMS"
811,12,120,1,"FASH BOT"
811,12,120,5,SHORTS
811,12,120,100,BASICS
811,12,120,101,"FASH BOT"
811,12,120,105,SHORTS
811,12,120,110,"FASH BOT"
811,12,120,120,SHORTS
811,12,120,150,SHORTS
811,12,121,0,"M OUTER"
811,12,121,7,JACKETS
811,12,121,101,BLAZERS
811,12,121,102,LEATHER
811,12,121,103,"WOOL JKT"
811,12,121,104,VESTS
811,12,121,107,JACKETS
811,12,121,170,JACKETS
811,12,122,0,"M WOVENS"
811,12,122,5,"BAS HABD"
811,12,122,6,S/SSHIRT
811,12,122,100,"L/S FASH"
811,12,122,105,"BAS HABD"
811,12,122,106,S/SSHIRT
811,12,122,150,"BAS HABD"
811,12,122,160,S/SSHIRT
811,12,123,0,"M KNITS"
811,12,123,1,"LS KNITS"
811,12,123,3,POLO
811,12,123,4,FLEECE
811,12,123,100,"SS KNITS"
811,12,123,101,"LS KNITS"
811,12,123,102,SLEEVELS
811,12,123,103,POLO
811,12,123,104,FLEECE
811,12,123,106,NOVELTY
811,12,123,110,"LS KNITS"
811,12,123,130,POLO
811,12,123,140,FLEECE
811,12,124,0,"M SWTRS"
811,12,124,1,CTNBLEND
811,12,124,2,WL/WLBLD
811,12,124,101,CTNBLEND
811,12,124,102,WL/WLBLD
811,12,124,110,CTNBLEND
811,12,124,120,WL/WLBLD
811,12,127,0,"M DENIM"
811,12,127,100,"B DENIM"
811,12,127,104,FASHION
811,12,127,105,SHIRTS
811,12,127,120,SHORTS
811,12,127,140,FASHION
811,12,129,0,"M DENIM"
811,12,129,4,FASHION
811,12,129,100,"5 PKT"
811,12,129,101,SHORTS
811,12,129,104,FASHION
811,12,129,105,SHIRTS
811,12,129,140,FASHION
811,12,131,0,"MENS ACC"
811,12,131,101,BELTS
811,12,999,0,"NO CLASS"
811,12,999,199,"NO SUB-CLASS"
811,13,0,0,ACCESS
811,13,130,0,"G ACCESS"
811,13,130,100,SOCKS
811,13,130,101,BELTS
811,13,131,0,"MENS ACC"
811,13,131,1,BELTS
811,13,131,2,HATS
811,13,131,3,BAGS
811,13,131,100,SOCKS
811,13,131,101,BELTS
811,13,131,102,HATS
811,13,131,103,BAGS
811,13,131,104,"SNL ACC"
811,13,131,105,SHOES
811,13,131,106,MISC
811,13,131,110,BELTS
811,13,131,120,HATS
811,13,131,130,BAGS
811,13,132,0,"WMNS ACC"
811,13,132,1,BELTS
811,13,132,2,HATS
811,13,132,3,BAGES
811,13,132,5,SCARVES
811,13,132,6,TIGHTS
811,13,132,7,"SNL ACC"
811,13,132,8,SHOES
811,13,132,100,SOCKS
811,13,132,101,BELTS
811,13,132,102,HATS
811,13,132,103,BAGES
811,13,132,105,SCARVES
811,13,132,106,TIGHTS
811,13,132,107,"SNL ACC"
811,13,132,108,SHOES
811,13,132,110,BELTS
811,13,132,120,HATS
811,13,132,130,SHOES
811,13,132,150,SCARVES
811,13,132,180,SHOES
811,13,133,0,"M BODY"
811,13,133,1,BOXERS
811,13,133,3,"PKGD UND"
811,13,133,101,BOXERS
811,13,133,102,"BXR BRFS"
811,13,133,103,"PKGD UND"
811,13,133,104,LOUNGE
811,13,133,110,BOXERS
811,14,0,0,WOMENS
811,14,108,0,WMSUNDWR
811,14,108,104,BIKINI
811,14,132,0,"WMNS ACC"
811,14,132,101,BELTS
811,14,132,105,SCARVES
811,14,132,106,"ACT BTMS"
811,14,132,107,SPORT
811,14,132,108,SHOES
811,14,140,0,"W BTTMS"
811,14,140,1,"LONG PAN"
811,14,140,3,SHORTS
811,14,140,10,DRESSES
811,14,140,100,SKIRTS
811,14,140,101,"LONG PAN"
811,14,140,103,SHORTS
811,14,140,104,CAPRIS
811,14,140,110,DRESSES
811,14,140,120,SHORTS
811,14,140,140,SKIRTS
811,14,140,180,DRESSES
811,14,142,0,"W OTR/ITM"
811,14,142,2,JKTS
811,14,142,102,JKTS
811,14,142,104,DRESSES
811,14,142,105,COATS
811,14,142,106,VESTS
811,14,142,120,JKTS
811,14,142,150,COATS
811,14,143,0,LNGSLEEV
811,14,143,1,SHRTSLEV
811,14,143,2,SLEEVLES
811,14,143,100,LNGSLEEV
811,14,143,101,SHRTSLEV
811,14,143,102,SLEEVLES
811,14,143,110,SHRTSLEV
811,14,143,120,SLEEVLES
811,14,144,0,"W KNITS"
811,14,144,1,"LS KNIT"
811,14,144,2,SLEEVELS
811,14,144,4,"KNT DRSG"
811,14,144,5,"ACT TOPS"
811,14,144,6,"ACT BTMS"
811,14,144,100,"SS KNITS"
811,14,144,101,"LS KNIT"
811,14,144,102,SLEEVELS
811,14,144,104,"KNT DRSG"
811,14,144,105,"ACT TOPS"
811,14,144,106,"ACT BTMS"
811,14,144,108,"ACT TOPS"
811,14,144,110,"LS KNIT"
811,14,144,120,SLEEVELS
811,14,144,140,"KNT DRSG"
811,14,144,150,"ACT TOPS"
811,14,144,160,"ACT BTMS"
811,14,145,0,"W SWTRS"
811,14,145,2,"SHRT SLV"
811,14,145,3,LONGSLV
811,14,145,4,VESTS
811,14,145,101,SLVLESS
811,14,145,102,"SHRT SLV"
811,14,145,103,LONGSLV
811,14,145,104,VESTS
811,14,145,105,ITEMS
811,14,145,108,"WM RD SWT"
811,14,145,120,"SHRT SLV"
811,14,145,130,LONGSLV
811,14,145,140,VESTS
811,14,145,180,"ACTV TOP"
811,14,148,0,"W DENIM"
811,14,148,1,"FASH DEN"
811,14,148,3,SKIRTS
811,14,148,5,"WOVEN TOP"
811,14,148,100,"BAS 5PKT"
811,14,148,101,"FASH DEN"
