sku,quantity_on_hand,quantity_committed,slot_id
900013,8,8,CR000005
900490,10,CR000007,
900595,240,13,CR000004
900599,80,13,CR000003
900604,53,13,CR000002
901115,1,2,CR000001
901116,61,CR000001,
901117,90,CR000001,
901481,180,5,CR000006
901489,94,3,CR000006
900496,2,LOST,
5000,108,PCK00001,
123456,50,PCK00001,
800092,1,PCK00001,
800161,1,PCK00001,
800195,1,PCK00001,
800196,2,PCK00001,
800212,1,PCK00001,
800214,1,PCK00001,
800215,1,1,PCK00001
800215,1,1,PCK00002
900001,3716,1066,PCK00001
900002,3706,963,PCK00001
900003,2976,964,PCK00001
900004,480,48,PCK00001
900005,432,PCK00001,
900013,2,4,PCK00001
900036,732,PCK00001,
900037,732,PCK00001,
900043,166,PCK00001,
900044,168,PCK00001,
900045,167,PCK00001,
900046,498,PCK00001,
900081,12,PCK00001,
900306,PCK00001,,
900344,1,PCK00001,
900452,392,PCK00001,
900453,387,PCK00001,
900454,393,PCK00001,
900455,396,PCK00001,
900476,1,PCK00001,
900477,25,24,PCK00001
900480,420,PCK00001,
900481,615,PCK00001,
900483,5,PCK00001,
900492,6,PCK00001,
900496,115,6,PCK00001
900510,114,PCK00001,
900563,816,16,PCK00001
900564,829,24,PCK00001
900565,832,16,PCK00001
900580,2397,24,PCK00001
900588,PCK00001,,
900594,240,PCK00001,
900595,-8,PCK00001,
900599,-9,PCK00001,
900604,-3,PCK00001,
900769,400,PCK00001,
900770,93500,100,PCK00001
900771,6048,PCK00001,
900805,1,PCK00001,
900818,1,PCK00001,
900859,5,PCK00001,
900949,1,PCK00001,
900966,2,2,1AOA11
900967,5,5,1AOA12
900968,4,4,1AOA22
900969,4,4,1AOA32
900969,3,3,1AOB11
900969,1,1,1AOA22
900970,6,5,1AOA22
900972,11,11,1AOA31
900973,3,1,1AOA32
900973,3,3,1AOA11
900974,1,1,1AOB11
900974,2,2,1AOA21
900975,12,12,1AOA12
900976,2,2,1AOB12
900976,1,1,1AOA32
901004,3,PCK00001,
901018,24594,PCK00001,
901019,8181,PCK00001,
901094,2,PCK00001,
901106,1,PCK00001,
901115,1,PCK00001,
901116,37,PCK00001,
901117,36,PCK00001,
901240,1,PCK00001,
901248,1,PCK00001,
901475,20,4,PCK00001
901481,5,PCK00001,
901489,2,5,PCK00001
901617,4,PCK00001,
901885,1,PCK00001,
901895,1,PCK00001,
901899,1,PCK00001,
901905,16,PCK00001,
902304,1,PCK00001,
902309,11,8,1AOA21
902310,18,15,1AOB11
902311,3,3,1AOA11
902315,8,8,1AOA11
902370,140,26,PCK00001
902371,144,29,PCK00001
902385,282,PCK00001,
902424,1,PCK00001,
902451,6,PCK00001,
902473,1,PCK00001,
902690,24,PCK00001,
902708,18,PCK00001,
902732,64,PCK00001,
1,300,RZ000001,
22,5,5,RZ000001
23,300,RZ000001,
24,400,RZ000001,
32,400,RZ000001,
800092,99,RZ000001,
800152,100,RZ000001,
800161,99,RZ000001,
900003,1798,RZ000001,
900005,240,RZ000001,
900306,475,RZ000001,
900307,480,RZ000001,
900434,10,RZ000001,
900435,10,RZ000001,
900436,10,RZ000001,
900437,10,RZ000001,
900438,10,RZ000001,
900439,10,RZ000001,
900476,10,RZ000001,
900477,10,RZ000001,
900480,20,RZ000001,
900481,20,RZ000001,
900482,5,RZ000001,
900484,10,RZ000001,
900486,10,RZ000001,
900492,10,RZ000001,
900494,10,RZ000001,
900526,24,RZ000001,
900527,24,RZ000001,
900563,24,RZ000001,
900588,24,RZ000001,
900700,240,RZ000001,
900701,72,RZ000001,
900702,240,RZ000001,
900703,240,RZ000001,
900769,8000,RZ000001,
900966,598,RZ000001,
900967,595,RZ000001,
900968,356,RZ000001,
900969,352,RZ000001,
900970,594,RZ000001,
900972,589,RZ000001,
900973,594,RZ000001,
900974,597,RZ000001,
900975,588,RZ000001,
900976,597,RZ000001,
900981,1200,RZ000001,
901410,10000,RZ000001,
901556,2304,RZ000001,
901561,2304,RZ000001,
902229,100,RZ000001,
902230,100,RZ000001,
902309,709,RZ000001,
902310,702,RZ000001,
902311,717,RZ000001,
902315,1192,RZ000001,
902451,24,RZ000001,
902452,24,RZ000001,
902453,24,RZ000001,
902454,12,RZ000001,
902455,12,RZ000001,
902456,12,RZ000001,
902457,12,RZ000001,
902690,-24,RZ000001,
902691,24,RZ000001,
902739,288,RZ000001,
902740,2880,RZ000001,
902741,288,RZ000001,
902784,7280,RZ000001,
11255563,300,RZ000001,
22,2,SZ000001,
800015,-5,SZ000001,
800016,119,SZ000001,
800215,SZ000001,,
900001,2726,SZ000001,
900002,1920,SZ000001,
900003,SZ000001,,
900004,SZ000001,,
900013,SZ000001,,
900043,2,SZ000001,
900045,1,SZ000001,
900046,6,SZ000001,
900306,5,SZ000001,
900476,35,SZ000001,
900477,SZ000001,,
900480,2,SZ000001,
900492,16,SZ000001,
900496,SZ000001,,
900563,-16,SZ000001,
900564,-24,SZ000001,
900565,-24,SZ000001,
900580,SZ000001,,
900595,3,SZ000001,
900599,4,SZ000001,
900770,652,SZ000001,
900771,264,SZ000001,
900966,SZ000001,,
900967,SZ000001,,
900968,SZ000001,,
900969,SZ000001,,
900970,SZ000001,,
900972,SZ000001,,
900973,SZ000001,,
900974,SZ000001,,
900975,SZ000001,,
900976,SZ000001,,
901116,3,SZ000001,
901475,SZ000001,,
901481,SZ000001,,
901489,SZ000001,,
902309,SZ000001,,
902310,SZ000001,,
902311,SZ000001,,
902315,SZ000001,,
902370,SZ000001,,
902371,SZ000001,,
902451,7,SZ000001,
