move_doc_number,sku,from_slot_code,quantity_to_letdown,store_code,date_created,sequence_no,group_name
224,4800047820212,CR000006,3.00,9005,140509,2
224,4800047840029,CR000006,5.00,9005,140509,1
286,4800086040893,2AOB22,4.00,9005,140528,1,GROUP-A
287,4800086040893,2AOB22,3.00,9005,140528,1,GROUP-A
288,4800086040893,2AOB22,2.00,9005,140528,1,GROUP-A
287,4800086040909,2AOB32,3.00,9005,140528,3,GROUP-A
287,4800086040923,2AOB31,2.00,9005,140528,2,GROUP-A
288,4800086040923,2AOB31,4.00,9005,140528,2,GROUP-A
173,4800099101048,CR000003,13.00,9005,140204,1
173,4800602012939,CR000004,13.00,9005,140204,2
182,4800818807503,CR000005,8.00,9005,140213,1
109,4801688111011,CR000001,1.00,9005,131212,1
111,4801688111011,CR000001,1.00,9005,131212,1
277,8999999005672,2AOB42,3.00,9005,140527,2,GROUP-A
278,8999999005672,2AOB42,1.00,9005,140527,2,GROUP-A
279,8999999005672,2AOB42,1.00,9005,140527,2,GROUP-A
277,8999999025984,2AOC12,2.00,9005,140527,3,GROUP-A
278,8999999025984,2AOC12,2.00,9005,140527,3,GROUP-A
279,8999999025984,2AOC12,2.00,9005,140527,3,GROUP-A
280,8999999025984,2AOC12,2.00,9005,140527,2,GROUP-A
281,8999999025984,2AOC12,3.00,9005,140527,2,GROUP-A
277,9300830006595,2AOB22,2.00,9005,140527,1,GROUP-A
278,9300830006595,2AOB31,1.00,9005,140527,1,GROUP-A
279,9300830006595,2AOB31,2.00,9005,140527,1,GROUP-A
280,9300830006595,2AOB31,1.00,9005,140527,1,GROUP-A
281,9300830006595,2AOB31,1.00,9005,140527,1,GROUP-A
