move_doc_number,sku,from_slot_code,quantity_to_pick,store_code,so_no,date_created,sequence_no,group_name,quantity_moved
148,198838400328,MA1C1L1,5.00,7102,6358,150309,1,,0
148,198838400342,MA1C1L1,1.00,7102,6358,150309,2,,0
148,198838400366,MA1C1L1,2.00,7102,6358,150309,3,,0
148,198838400380,MA1C1L1,3.00,7102,6358,150309,4,,0
148,198838400403,MA1C1L1,2.00,7102,6358,150309,5,,0
148,120851600027,MA1C1L1,1.00,7102,6358,150309,6,,0
148,120702800019,MA1C1L1,2.00,7102,6358,150309,7,,0
148,120702800026,MA1C1L1,3.00,7102,6358,150309,8,,0
148,120702800033,MA1C1L1,1.00,7102,6358,150309,9,,0
148,120702800040,MA1C1L1,2.00,7102,6358,150309,10,,0
148,124182902027,MA1C1L1,2.00,7102,6358,150309,11,,0
148,124182904021,MA1C1L1,1.00,7102,6358,150309,12,,0
148,124182906025,MA1C1L1,2.00,7102,6358,150309,13,,0
148,124182908029,MA1C1L1,3.00,7102,6358,150309,14,,0
148,124182910022,MA1C1L1,3.00,7102,6358,150309,15,,0
148,124182912026,MA1C1L1,2.00,7102,6358,150309,16,,0
148,198838400281,ZR000001,2.00,7102,6358,150309,17,,0
148,198838400304,ZR000001,3.00,7102,6358,150309,18,,0
149,198838400328,MA1C1L1,5.00,7102,6359,150309,1,,0
149,198838400342,MA1C1L1,1.00,7102,6359,150309,2,,0
149,198838400366,MA1C1L1,2.00,7102,6359,150309,3,,0
149,198838400380,MA1C1L1,3.00,7102,6359,150309,4,,0
149,198838400403,MA1C1L1,2.00,7102,6359,150309,5,,0
149,120851600027,MA1C1L1,1.00,7102,6359,150309,6,,0
149,120702800019,MA1C1L1,2.00,7102,6359,150309,7,,0
149,120702800026,MA1C1L1,3.00,7102,6359,150309,8,,0
149,120702800033,MA1C1L1,1.00,7102,6359,150309,9,,0
149,120702800040,MA1C1L1,2.00,7102,6359,150309,10,,0
149,124182902027,MA1C1L1,2.00,7102,6359,150309,11,,0
149,124182904021,MA1C1L1,1.00,7102,6359,150309,12,,0
149,124182906025,MA1C1L1,2.00,7102,6359,150309,13,,0
149,124182908029,MA1C1L1,3.00,7102,6359,150309,14,,0
149,124182910022,MA1C1L1,3.00,7102,6359,150309,15,,0
149,124182912026,MA1C1L1,2.00,7102,6359,150309,16,,0
149,198838400281,ZR000001,2.00,7102,6359,150309,17,,0
149,198838400304,ZR000001,3.00,7102,6359,150309,18,,0
153,120662300369,A0000001,1.00,7212,6371,150309,1,,0
153,120662300406,A0000001,1.00,7212,6371,150309,2,,0
153,120851600089,A0000001,1.00,7212,6371,150309,3,,0
153,120720400017,MA1C1L1,1.00,7212,6371,150309,4,,0
153,120720400024,MA1C1L1,2.00,7212,6371,150309,5,,0
153,120720400031,MA1C1L1,1.00,7212,6371,150309,6,,0
153,120720400048,MA1C1L1,2.00,7212,6371,150309,7,,0
153,120662300284,MA1C1L1,2.00,7212,6371,150309,8,,0
153,120662300307,MA1C1L1,2.00,7212,6371,150309,9,,0
153,120662300321,MA1C1L1,1.00,7212,6371,150309,10,,0
153,120662300345,MA1C1L1,2.00,7212,6371,150309,11,,0
153,120851600041,MA1C1L1,1.00,7212,6371,150309,12,,0
153,120851600140,MA1C1L1,1.00,7212,6371,150309,13,,0
153,132300300013,MA1C1L1,1.00,7212,6371,150309,14,,0
153,132305300032,MA1C1L1,1.00,7212,6371,150309,15,,0
153,120662300383,MA1C2L4,1.00,7212,6371,150309,16,,0
