move_doc_number,sku,from_slot_code,quantity_to_pick,store_code,created_at
48,2200866415194,PZ000001,1,80021,130730
98,2200862436322,PZ000001,2,884,161109
98,2200865589896,PZ000001,1,884,161109
106,2200828955263,PZ000001,1,820,161205
106,2895528300000,PZ000001,1,820,161205
107,28994848,PZ000001,1,884,161205
108,2200866415170,PZ000001,1,893,161205
109,2200813137674,PZ000001,1,893,161205
109,2200865194359,PZ000001,1,893,161205
111,28994817,PZ000001,1,884,161205
111,28994824,PZ000001,1,884,161205
113,2200865194373,PZ000001,1,944,161205
113,2200865194380,PZ000001,1,944,161205
114,2200865194397,PZ000001,1,944,161205
114,2200866274302,PZ000001,1,944,161205
115,2200866274302,PZ000001,1,975,161205
115,2200866275279,PZ000001,1,975,161205
116,2200866275316,PZ000001,1,975,161205
116,2200866349932,PZ000001,1,975,161205
