move_doc_number,sku,from_slot_code,quantity_to_pick,store_code,so_no,date_created,sequence_no,group_name
234,900966,1AOA11,2.00,20,10490,140515,1,GROUP-A
234,902315,1AOA11,4.00,20,10490,140515,2,GROUP-A
234,900967,1AOA12,5.00,20,10490,140515,3,GROUP-A
234,900975,1AOA12,5.00,20,10491,140515,4,GROUP-A
234,900974,1AOA21,2.00,20,10491,140515,5,GROUP-A
234,900968,1AOA22,4.00,20,10490,140515,6,GROUP-A
234,900969,1AOA22,1.00,20,10490,140515,7,GROUP-A
234,900970,1AOA22,5.00,20,10490,140515,8,GROUP-A
234,900972,1AOA31,6.00,20,10490,140515,9,GROUP-A
234,900969,1AOA32,2.00,20,10490,140515,10,GROUP-A
234,900974,1AOB11,1.00,20,10491,140515,11,GROUP-A
235,900973,1AOA11,3.00,30,10492,140515,1,GROUP-A
235,900975,1AOA12,3.00,30,10492,140515,2,GROUP-A
235,902309,1AOA21,3.00,30,10493,140515,3,GROUP-A
235,900969,1AOA32,2.00,30,10492,140515,4,GROUP-A
235,900973,1AOA32,1.00,30,10492,140515,5,GROUP-A
235,900976,1AOA32,1.00,30,10492,140515,6,GROUP-A
235,900969,1AOB11,1.00,30,10492,140515,7,GROUP-A
235,902310,1AOB11,6.00,30,10493,140515,8,GROUP-A
235,900976,1AOB12,2.00,30,10492,140515,9,GROUP-A
236,902311,1AOA11,3.00,26,10494,140515,1,GROUP-A
236,902315,1AOA11,4.00,26,10494,140515,2,GROUP-A
236,900975,1AOA12,3.00,26,10495,140515,3,GROUP-A
236,902309,1AOA21,5.00,26,10494,140515,4,GROUP-A
236,900972,1AOA31,2.00,26,10495,140515,5,GROUP-A
236,902310,1AOB11,5.00,26,10494,140515,6,GROUP-A
237,900975,1AOA12,1.00,40,10496,140515,1,GROUP-A
237,900972,1AOA31,3.00,40,10496,140515,2,GROUP-A
237,900969,1AOB11,2.00,40,10496,140515,3,GROUP-A
237,902310,1AOB11,4.00,40,10496,140515,4,GROUP-A
