move_doc_number,sku,from_slot_code,quantity_to_pick,store_code,so_no,date_created,sequence_no,group_name,quantity_moved
290,8888077101101,PCK00001,2.00,20,"10539   ",140609,1,"GROUP-A ",0
290,49771992,PCK00001,2.00,20,"10537   ",140609,2,"GROUP-A ",0
290,4902777237930,PCK00001,4.00,20,"10537   ",140609,3,"GROUP-A ",0
290,4902777017761,PCK00001,3.00,20,"10537   ",140609,4,"GROUP-A ",0
290,8888077101200,PCK00001,3.00,20,"10539   ",140609,5,"GROUP-A ",0
291,49771992,PCK00001,2.00,30,"10540   ",140609,1,"GROUP-A ",0
291,4902777009643,PCK00001,3.00,30,"10540   ",140609,2,"GROUP-A ",0
291,49770568,PCK00001,4.00,30,"10540   ",140609,3,"GROUP-A ",0
291,8888077108322,PCK00001,3.00,30,"10540   ",140609,4,"GROUP-A ",0
291,8888077101200,PCK00001,3.00,30,"10540   ",140609,5,"GROUP-A ",0
292,8888077101101,PCK00001,5.00,26,"10542   ",140609,1,"GROUP-A ",0
292,4902777237930,PCK00001,3.00,26,"10542   ",140609,2,"GROUP-A ",0
292,49770568,PCK00001,3.00,26,"10541   ",140609,3,"GROUP-A ",0
292,8888077108322,PCK00001,2.00,26,"10542   ",140609,4,"GROUP-A ",0
296,4902777237930,PCK00001,4.00,18,"10543   ",140609,1,"GROUP-B ",0
296,8888077108322,PCK00001,4.00,18,"10543   ",140609,2,"GROUP-B ",0
296,8888077101200,PCK00001,5.00,18,"10543   ",140609,3,"GROUP-B ",0
297,8888077101101,PCK00001,4.00,40,"10544   ",140609,1,"GROUP-B ",0
297,49770568,PCK00001,2.00,40,"10544   ",140609,2,"GROUP-B ",0
297,49770568,PCK00001,3.00,40,"10545   ",140609,3,"GROUP-B ",0
297,4902777017761,PCK00001,2.00,40,"10545   ",140609,4,"GROUP-B ",0
297,8888077101200,PCK00001,3.00,40,"10546   ",140609,5,"GROUP-B ",0
298,8888077101101,PCK00001,3.00,50,"10547   ",140609,1,"GROUP-B ",0
298,49771992,PCK00001,2.00,50,"10547   ",140609,2,"GROUP-B ",0
298,8888077108308,PCK00001,5.00,50,"10547   ",140609,3,"GROUP-B ",0
298,49770568,PCK00001,4.00,50,"10547   ",140609,4,"GROUP-B ",0
298,8888077108322,PCK00001,4.00,50,"10547   ",140609,5,"GROUP-B ",0
298,8888077101200,PCK00001,4.00,50,"10547   ",140609,6,"GROUP-B ",0
