move_doc_number,quantity_on_hand,quantity_committed,slot_id
1,1427,130930
2,1430,130930
3,130930,1437,130930
4,130930,1439,130930
5,130930,1443,130930
6,1458,130930
7,130930,1459,130930
8,130930,1500,130930
9,130930,1508,130930
10,1016,131002
11,131002,1028,131002
12,131002,1028,131002
13,131002,1037,131002
14,131002,1050,131002
15,131002,1642,131002
16,1701,131002
17,1727,131002
18,131005,2331,131005
19,131005,2331,131005
20,131005,2334,131005
21,131005,2334,131005
22,131005,2340,131005
23,131005,2340,131005
24,131010,1722,131010
25,131010,1902,131010
26,131011,1111,131011
27,131011,1141,131011
28,131011,1147,131011
29,131011,1156,131011
30,131011,1310,131011
31,131011,1338,131011
32,131011,2141,131011
33,131011,1403,131011
34,131017,1504,131017
35,131017,1548,131017
36,140214,1737,131017
37,131127,1248,131021
38,131113,1707,131113
39,131113,1715,131113
40,1315,131113
41,1457,131113
42,1612,131113
43,131113,1626,131113
44,131113,1645,131113
45,1652,131113
46,131127,1600,131127
47,131127,1620,131127
48,131211,1657,131211
49,131212,1651,131212
50,131212,1652,131212
51,131212,1651,131212
52,131212,1652,131212
53,131212,1445,131212
54,131212,1445,131212
55,131212,1445,131212
56,131212,1445,131212
57,131212,1450,131212
58,131212,1450,131212
59,131212,1450,131212
60,131212,1450,131212
61,131212,1540,131212
62,131212,1540,131212
63,131212,1540,131212
64,131212,1540,131212
65,1543,131212
66,1543,131212
67,1603,131212
68,131212,1605,131212
69,131212,1605,131212
70,131212,1605,131212
71,131212,1605,131212
72,1615,131212
73,131212,1617,131212
74,131212,1617,131212
75,131212,1617,131212
76,131212,1617,131212
77,1625,131212
78,1627,131212
79,1627,131212
80,1635,131212
81,1637,131212
82,1637,131212
83,1749,131212
84,1749,131212
85,131212,1726,131212
86,131212,1758,131212
87,131212,857,131212
88,131212,938,131212
89,131212,947,131212
90,131212,1042,131212
91,131212,953,131212
92,131212,1039,131212
93,1044,131212
94,131212,1050,131212
95,131212,1140,131212
96,1144,131212
97,131212,1147,131212
98,131212,1149,131212
99,1323,131212
100,131212,1332,131212
101,131212,1443,131212
102,131212,1448,131212
103,131212,1531,131212
104,131212,1535,131212
105,131212,1029,131212
106,131212,1515,131212
107,131212,1608,131212
108,131212,1636,131212
109,1756,131212
110,1809,131212
111,1813,131212
112,131212,1840,131212
113,131212,1842,131212
114,131212,1855,131212
115,131212,1856,131212
116,131212,1913,131212
117,131212,1915,131212
118,131212,1920,131212
119,131212,1921,131212
120,131212,1017,131212
121,131212,1017,131212
122,131212,1021,131212
123,131212,1134,131212
124,131212,1157,131212
125,131212,1200,131212
126,131212,1232,131212
127,131212,1539,131212
128,131212,1600,131212
129,131212,1602,131212
130,131212,1658,131212
131,131212,1007,131212
132,131212,1012,131212
133,131212,1019,131212
134,1028,131212
135,131212,1040,131212
136,131212,1042,131212
137,131212,1042,131212
138,131212,1528,131212
139,131212,1810,131212
140,131212,1153,131212
141,140214,1155,131212
142,140214,1158,131212
143,131212,1422,131212
144,131212,1424,131212
145,131212,857,131212
146,131212,918,131212
147,131212,919,131212
148,131212,1337,131212
149,131212,1343,131212
150,131212,1343,131212
151,131212,1351,131212
152,1354,131212
153,131212,1354,131212
154,131212,1406,131212
155,1416,131212
156,131212,1455,131212
157,131212,1455,131212
158,131212,1437,131212
159,131212,1507,131212
160,131212,1513,131212
161,131212,1513,131212
162,131212,1544,131212
163,131212,1548,131212
164,140508,1552,131212
165,131212,1552,131212
166,1249,131212
167,1256,131212
168,1256,131212
169,1306,131212
170,140204,1306,131212
171,131212,1349,131212
172,131212,1317,131212
173,928,140204
174,140204,928,140204
175,140204,1209,140204
176,1300,140204
177,140204,1122,140204
178,140204,1144,140204
179,140204,1148,140204
180,140204,1328,140204
181,1331,140213
182,1331,140213
183,140213,1438,140213
184,1505,140213
185,140213,1505,140213
186,2135,140213
187,140213,1154,140213
188,140214,1512,140214
189,140214,1512,140214
190,140214,1534,140214
191,140214,1428,140214
192,140214,1428,140214
193,140214,1422,140214
194,140424,937,140424
195,140424,1057,140424
196,140424,1327,140424
197,140424,1346,140424
198,140424,1415,140424
199,140424,1421,140424
200,140424,1218,140424
201,140506,1123,140424
202,1123,140424
203,1123,140424
204,140424,1520,140424
205,140506,1802,140506
206,140508,936,140508
207,140508,936,140508
208,140508,939,140508
209,140508,939,140508
210,140509,1116,140509
211,1116,140509
212,140509,1513,140509
213,140509,1647,140509
214,140509,1649,140509
215,140509,1649,140509
216,140509,1659,140509
217,140509,1659,140509
218,140509,1707,140509
219,140509,1707,140509
220,140509,1721,140509
221,140509,1721,140509
222,140509,1726,140509
223,140509,1726,140509
224,1728,140509
225,1728,140509
226,140509,1753,140509
227,1754,140509
