vendor,receiver_no,sku,quantity_ordered,unit_cost
811,3310,121847332328,10.00,1000.0000
811,3310,121847333325,10.00,1000.0000
811,3310,121847334322,10.00,1000.0000
811,3310,121847336326,10.00,1000.0000
811,3310,121846930327,10.00,1000.0000
811,3310,121846931324,10.00,1000.0000
811,3310,121846932321,10.00,1000.0000
813,3311,198838400281,15.00,1500.0000
813,3311,198838400304,15.00,1500.0000
813,3311,198838400328,15.00,1500.0000
813,3311,198838400342,15.00,1500.0000
813,3311,198838400366,15.00,1500.0000
813,3311,198838400380,15.00,1500.0000
813,3311,198838400403,15.00,1500.0000
813,3311,120851600027,15.00,1500.0000
813,3311,120702800019,15.00,1500.0000
813,3311,120702800026,15.00,1500.0000
813,3311,120702800033,15.00,1500.0000
813,3311,120702800040,15.00,1500.0000
813,3311,124182902027,15.00,1500.0000
813,3311,124182904021,15.00,1500.0000
813,3311,124182906025,15.00,1500.0000
811,3314,121583409117,5.00,1000.0000
811,3314,121583909112,5.00,1000.0000
