sku,upc,receiver_no,dept_number,quantity_ordered,dept_name
7101058,2200871010582,16566,3,10,CHILDRENSWEAR
1313767,2200813137674,16572,1,10,HOME
2895525,2200828955256,16572,10,10,"Gifts and Seasonal"
2895526,2200828955263,16572,10,10,"Gifts and Seasonal"
2895528,2895528300000,16572,10,10,"Gifts and Seasonal"
2899484,28994848,16577,1,10,HOME
2899486,28994862,16577,1,5,HOME
2895533,2200828955331,16578,10,5,"Gifts and Seasonal"
2895535,2200828955355,16578,10,10,"Gifts and Seasonal"
2895536,2200828955362,16578,10,5,"Gifts and Seasonal"
2899481,28994817,16580,1,6,HOME
2899482,28994824,16580,1,5,HOME
2899484,28994848,16580,1,7,HOME
2899486,28994862,16580,1,4,HOME
2899488,28994886,16580,1,3,HOME
7996639,2200879966393,16601,10,50,"Gifts and Seasonal"
