vendor,receiver_no,sku,quantity_ordered,unit_cost
30105,20110,72600071193,27.00,103.0000
30105,20110,72600109513,18.00,103.0000
50015,20114,4806502720615,3.00,56.3500
50015,20114,4806502720097,2.00,56.3500
30076,20145,8851932305297,36.00,81.6500
30076,20145,4800888178725,24.00,64.5500
90026,20146,2800199900260,10.00,42.0000
90026,20146,2800200900265,10.00,31.0000
90026,20146,2800201900264,10.00,40.0000
90026,20146,2800202900263,10.00,46.0000
30014,20198,4801981112968,128.00,50.0000
30014,20198,4801981112647,32.00,47.5000
30014,20198,4801981125647,48.00,19.5833
30014,20198,4801981120963,480.00,23.3750
30014,20199,4800099101178,3.00,74.3333
30030,20200,28400017145,120.00,103.9500
30030,20200,28400017015,120.00,103.9500
30106,20246,8888077102061,72.00,13.4400
30106,20246,8888077103259,96.00,13.4400
30106,20247,8888077101125,30.00,23.8000
30106,20247,4902777235547,20.00,40.3200
30106,20248,4902777235547,30.00,40.3200
30106,20248,4902777009728,50.00,40.3200
30106,20249,4902777009728,30.00,40.3200
30106,20249,8994504124312,30.00,24.9200
30106,20249,8888077101378,50.00,23.8000
30106,20250,8888077101378,20.00,23.8000
30106,20250,8888077108421,50.00,19.0400
30025,20259,750515017429,480.00,4.1134
30025,20259,750515017405,80.00,10.7010
30025,20260,750515021204,72.00,26.7525
30025,20260,750515021228,2016.00,1.2242
30025,20261,750515030152,600.00,4.2062
30025,20261,750515030176,300.00,4.2062
30025,20262,750515030190,900.00,4.8763
30025,20262,750515030008,600.00,4.8763
30025,20263,750515018402,720.00,3.8402
30025,20263,750515018303,100.00,16.0824
