receiver_no,po_no,total_qty,shipment_reference_no,entry_date
16536,10531,6,,
16537,10535,20,,
16538,10530,5000,,
16539,10538,1000,,
16540,10539,1000,,
16541,10540,1000,,
16542,10541,100,,
16543,10542,20,,
16544,10543,100,,
16545,10544,100,,
16546,10549,20,,
16547,10550,5,,
16548,10551,20,,
16549,10554,300,,
16550,10555,300,,
16551,10556,200,,
16552,10558,1500,,
16553,10559,1400,,
16554,10560,70,,
16555,10562,1000,,
16556,10564,80,,
16557,10565,20,,
16558,10577,14,,
16559,10597,30,,
16560,10612,30,,
16561,10651,179,,
16562,10687,9,,
16563,10747,170,,
16564,10756,20,,
16565,10787,276,,
16566,10791,10,0688123,150324
16567,10814,10,,
16568,10816,10,,
16569,10786,134,,
16570,10789,9,,
16571,10824,30,,
16572,10825,40,0688123,150408
16573,10822,300,,
16574,10827,30,,150408
16575,10829,10,,
16576,10589,29,0688123,150303
16577,10831,15,0688123,151016
16578,10833,20,0688123,151112
16579,10835,20,,151112
16580,10834,25,0688123,151112
16581,10837,15,,160108
16582,10838,97,,160108
16583,10839,7,,160108
16584,10841,15,0688123,160108
16585,10842,50,,
16586,10843,1120,,
16587,10844,500,,
16588,10845,60,,
16589,10846,25,,
16590,10847,60,,
16591,10848,55,,
16592,10849,40,,
16593,10850,500,,
16594,10851,400,,
16595,10853,400,,
16596,10855,400,,
16597,10856,100,,
16598,10857,100,,
16599,10858,500,,
16600,10859,1000,,
16601,10860,50,0688123,160313
16602,10861,50,,
16603,10862,25,0688123,160229
16604,10863,15,,
16605,10864,60,0688123,160229
16606,10865,100,,
16607,10867,200,,
16608,10823,300,,150408
16609,10613,20,,150303
16610,10868,3,,160229
16611,10869,3,,160229
