receiver_no,invoice_no,po_no,total_qty,entry_date
16610,1,10868,3,160229
16538,TEST,10530,5000,
16539,test,10538,1000,
16540,1,10539,1000,
16541,1,10540,1000,
16542,land,10541,100,
16543,asr,10542,20,
16546,"asr test 2",10549,20,
16547,1,10550,5,
16548,ship,10551,20,
16549,land,10554,300,
16550,land,10555,300,
16551,ASR,10556,200,
16552,ASRTEST_HOME,10558,1500,
16553,"asr home",10559,1400,
16554,asr,10560,70,
16556,LAND,10564,80,
16557,1,10565,20,
16558,LAND,10577,14,
16559,LAND,10597,30,
16561,land,10651,179,
16562,land,10687,9,
16564,land,10756,20,
16569,080782,10786,134,
16570,080719,10789,9,
16566,0688123,10791,10,150324
16567,LAND,10814,10,
16568,land,10816,10,
16573,"INVOICE 1234",10822,300,
16608,0688123,10823,300,150408
16572,0688123,10825,40,150408
16574,1,10827,30,150408
16575,wyw8eyw8,10829,10,
16577,0688123,10831,15,151016
16578,0688123,10833,20,151112
16582,2322442,10838,97,160108
16583,1,10839,7,160108
16584,1,10841,15,160108
16595,55555,10853,400,
16596,66666,10855,400,
16597,77777,10856,100,
16601,,10860,50,160313
16602,LAND,10861,50,
16615,,10881,20,161125
16616,,10882,20,161125
16617,,10884,20,161125
16618,,10885,20,161125
16625,,10887,8,161125
16623,,10891,30,161125
16624,,10892,30,161125
16537,wqqwr,10535,20,
16536,sfsdf,10531,6,
16603,AIR,10862,25,160229
16605,AIR,10864,60,160229
16614,,10878,10,161117
16621,,10888,20,161125
