move_doc_number,upc,delivered_qty
228046,2200867179101,4
228046,2200867530520,3
228046,2200867571769,2
228046,2200867689921,1
228046,2200867689938,2
228046,2200867697698,1
228046,2200867740738,3
228046,2200867766783,1
228046,2200867817126,2
228046,2200868073392,0
228046,2200868073996,1
228046,2200868148953,1
228046,2200868148960,3
228046,2200868150185,1
247480,2200870393921,2
247480,2200870393938,2
247480,2200870393945,2
247480,2200870393969,1
247480,2200870393983,1
247480,2200870393990,1
247480,2200870394089,2
247480,2200870394096,1
247480,2200870394119,2
247480,2200870394126,1
247480,2200870394157,2
247480,2200870394164,2
247480,2200870394195,1
247480,2200870394201,2
247480,2200870394225,2
247480,2200871499707,3
247480,2200871499714,2
247480,2200871499721,2
247480,2200871499738,1
247480,2200871594488,2
247480,2200871594495,2
247480,2200871594501,2
247480,2200871594518,1
289858,9000006,200
289858,9000007,400
289858,9000008,250
289950,2200877673705,1
289950,2200877673729,1
289950,2200877673798,1
289950,2200877673804,1
289950,2200877673811,1
289950,2200877673828,1
289950,2200877673835,1
289950,2200877673859,1
289950,2200877678397,4
289950,2200877870975,1
289950,2200877931980,2
289950,2200877931997,2
289950,2200877932000,2
289950,2200877932017,1
289950,2200877932031,1
289950,2200878130498,4
289950,2200878130504,3
289950,2200878130511,1
289950,2200878130535,1
289950,2200878130542,2
289950,2200878333936,1
289950,2200878333943,2
289950,2200878333950,1
289950,2200878333967,2
289950,2200878451432,1
289950,2200878451449,1
289950,2200878451463,1
289950,2200878451487,1
289950,2200878451517,2
289950,2200878454051,1
289950,2200878454068,2
289950,2200878454082,1
289950,2200878454099,1
289950,2200878454105,1
289950,2200878454112,1
289950,2200878485765,1
289950,2200878485789,1
289950,2200878485819,1
289950,2200878485826,1
289950,2200878485864,1
289950,2200878766109,1
289950,2200878766116,1
289950,2200878766123,2
289950,2200878766130,1
289950,2200878766192,1
289950,2200878766208,1
289950,2200878766215,2
289950,2200878922826,1
289950,2200878922833,3
289950,2200878922857,1
289950,2200878922864,1
289950,2200878970445,4
289950,2200878970452,1
289950,2200878970476,5
289950,2200878970483,4
289950,2200878970506,4
289950,2200878970513,3
289950,2200878970544,2
289950,2200878971268,1
289950,2200878971275,2
289950,2200878971282,1
289973,2200851900230,1
289973,2200851900278,2
289973,2200861357666,1
289973,2200861357680,1
289973,2200861357697,2
289973,2200861357703,2
289973,2200861357710,1
289973,2200861357833,3
289973,2200861357840,2
289973,2200861357857,2
289973,2200861357864,2
289973,2200861357871,2
289973,2200861999217,1
289973,2200861999262,1
289973,2200862214951,3
289973,2200862214975,4
289973,2200862214982,3
289973,2200862214999,3
289973,2200867997576,5
289973,2200867997590,5
289973,2200867997613,1
289973,2200867997637,2
289973,2200867997644,3
289973,2200867997651,3
289973,2200867997668,2
289973,2200867997675,2
289973,2200867997682,4
289973,2200869498194,1
289973,2200869498217,2
289973,2200869498224,2
289973,2200869498231,1
289973,2200869498262,3
289973,2200869498279,1
289973,2200869498309,2
289973,2200869498323,2
289973,2200869498347,1
289973,2200871029928,2
289973,2200871029935,2
289973,2200872362123,2
289973,2200872362130,3
289973,2200872362147,1
289973,2200872362154,2
289973,2200872362185,1
289973,2200872362192,1
289973,2200872362208,2
289973,2200872362215,1
289973,2200872362222,2
289973,2200872362239,2
289973,2200872362246,2
290066,2200856055584,1
290066,2200856055607,1
290066,2200856055638,2
290066,2200856058608,2
290066,2200856058615,2
290066,2200856058622,1
290066,2200856058684,2
290066,2200856058721,2
290066,2200856058738,3
290066,2200856058745,1
290066,2200856058752,1
290066,2200856058790,5
290066,2200856058813,1
290066,2200856058851,1
290066,2200856058899,1
290066,2200862314835,1
290066,2200866900881,1
290066,2200866900898,1
290066,2200868453422,1
290067,2200856058646,1
290067,2200856058813,2
290067,2200856058820,3
290067,2200856058837,3
290067,2200856058844,6
290067,2200856058851,7
290067,2200856058882,2
290067,2200856058899,4
290067,2200856058905,14
290067,2200856058912,7
290067,2200856058929,8
290067,2200856059803,1
290067,2200866900881,6
290067,2200866900898,4
290067,2200866900904,5
290068,2200856055560,12
290068,2200856055577,11
290068,2200856055584,4
290068,2200856055591,1
290068,2200856055607,1
290068,2200856055621,19
290068,2200856055638,13
290068,2200856055645,3
290068,2200856055652,3
290068,2200856055669,2
290068,2200856055706,12
290068,2200856058561,2
290068,2200856058578,3
290068,2200856058592,3
290068,2200856058608,1
290068,2200856058660,5
290068,2200856058677,4
290068,2200856058684,3
290068,2200856058691,6
290068,2200856058721,11
290068,2200856058738,4
290068,2200856058745,2
290068,2200856058752,4
290068,2200856058769,6
290068,2200856058790,6
290068,2200862314811,6
290068,2200862849894,1
290068,2200862849900,7
290069,2200856058615,4
290069,2200856058622,4
290069,2200856058639,3
290069,2200856058646,2
290069,2200856058653,3
290069,2200862314835,7
290069,2200866901291,4
290069,2200866901307,9
290069,2200866901321,3
290069,2200866901352,6
290069,2200868453347,1
290069,2200868453354,7
290069,2200868453361,3
290069,2200868453378,4
290069,2200868453408,3
290069,2200868453415,1
290069,2200868453422,10
290069,2200868453439,8
290069,2200868453446,5
289858,2200860972204,0
255051,2200850948400,1
255051,2200850948431,2
255051,2200850948448,1
255051,2200850948479,1
255053,2895542900000,2
255053,2200828955430,2
255053,87934295100,2
255053,2200834866300,2
255054,2200853916789,1
255054,2200853916833,1
255054,2200853916864,1
255054,2200853916932,1
255086,2200860391999,2
255086,2200860694328,1
255086,2200860970521,2
255086,2200860970569,2
255130,2895532000000,5
256057,2200849470288,3
256354,2200813137544,1
256354,2200813137674,1
256355,2200828955256,2
256355,2200828955362,1
256371,2200837769400,1
256371,2200837769424,1
256371,2200837780344,1
256372,2200849470288,2
256372,2200850948325,2
256373,2200850948431,1
256373,2200850948448,1
256373,2200850948479,1
256373,2200851762463,1
256391,2200850948486,1
256391,2200851900230,1
256391,2200851900278,1
256391,2200852613276,1
256400,2200852868140,1
256400,2200852868171,1
256400,2200853536345,1
256400,2200853536369,1
256410,2200853916727,1
256410,2200853916734,1
256410,2200853916765,1
256420,2200853916789,1
256420,2200853916802,1
256420,2200853916819,1
256421,2200856058738,1
256421,2200856058745,1
256421,2200856058752,5
256421,2200856058769,2
