so_no,sku,ordered_qty,allocated_qty
10602,750515017429,3.00,3.00
10602,750515017405,3.00,3.00
10602,750515021204,4.00,4.00
10602,750515021228,5.00,5.00
10603,750515030176,5.00,5.00
10603,750515018402,2.00,2.00
10603,750515018303,7.00,7.00
10604,750515021204,3.00,3.00
10604,750515021228,2.00,2.00
10604,750515030152,5.00,5.00
10605,750515018402,4.00,4.00
10605,750515018303,6.00,6.00
10606,750515030176,3.00,3.00
10606,750515030190,5.00,5.00
10606,750515030008,4.00,4.00
10606,750515018402,2.00,2.00
10606,750515018303,6.00,6.00
10607,750515017429,4.00,4.00
10607,750515017405,6.00,6.00
10607,750515021204,5.00,5.00
10607,750515030176,4.00,4.00
10607,750515018402,2.00,2.00
10608,750515030008,5.00,5.00
10608,750515018402,3.00,3.00
10608,750515018303,5.00,5.00
10609,750515017429,5.00,5.00
10609,750515017405,2.00,2.00
10610,750515021228,4.00,4.00
10610,750515030152,5.00,5.00
10610,750515030176,3.00,3.00
10611,750515030176,4.00,4.00
10611,750515030190,4.00,4.00
10611,750515030008,5.00,5.00
10611,750515018402,6.00,6.00
10611,750515018303,5.00,5.00
